id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,number_of_reviews_ltm,review_scores_rating,instant_bookable,reviews_per_month
51551079,226804666,100%,39%,f,3404,College Area,32.77129,-117.06812,Private room,1,1 private bath,1,1,92,0,,f,
51551091,226804666,100%,39%,f,3404,College Area,32.77225,-117.06805,Private room,1,1 private bath,1,1,87,0,,f,
51570103,226804666,100%,39%,f,3404,College Area,32.77129,-117.07547,Private room,1,Private half-bath,1,1,54,0,,f,
51692159,418785102,100%,100%,f,0,Mission Bay,32.76776,-117.2526,Entire home/apt,6,2 baths,3,4,909,10,4.6,t,1.01
51694836,97152971,60%,60%,f,6,Otay Ranch,32.6253,-116.99565,Private room,2,1 private bath,1,1,87,1,5,f,0.88
51839864,418470341,N/A,94%,f,1,Bay Terrace,32.69288,-117.0372,Entire home/apt,8,2.5 baths,5,8,185,8,4.63,t,0.82
51570120,226804666,100%,39%,f,3404,College Area,32.7734,-117.07496,Private room,1,Private half-bath,1,1,79,0,,f,
51841364,339672674,100%,100%,f,1,North Clairemont,32.83125,-117.19959,Private room,2,1 shared bath,1,1,92,56,4.5,t,5.71
51842531,9624153,100%,97%,f,41,Mission Bay,32.7664,-117.25032,Entire home/apt,10,3 baths,3,4,599,1,5,f,0.53
51703911,417166631,100%,97%,t,2,Oak Park,32.74395,-117.05791,Entire home/apt,7,1 bath,3,4,244,66,4.83,f,6.85
51570141,226804666,100%,39%,f,3404,College Area,32.7714,-117.07475,Private room,1,Private half-bath,1,1,65,0,,f,
51709829,418920963,100%,97%,t,0,Mira Mesa,32.91552,-117.13343,Private room,4,1 private bath,1,1,80,30,5,f,3.52
51712328,3017970,95%,34%,f,86,Mission Bay,32.763138,-117.250259,Entire home/apt,6,1 bath,2,4,466,1,5,f,0.14
51845383,43134302,100%,60%,f,0,San Carlos,32.80416,-117.04679,Entire home/apt,6,1 bath,2,4,193,2,4.5,f,0.3
51846850,11159977,100%,93%,f,0,Del Mar Heights,32.94609,-117.24538,Entire home/apt,4,1 bath,1,3,199,6,4.83,f,0.64
51855415,418599072,100%,99%,f,0,Mira Mesa,32.91043,-117.15441,Entire home/apt,6,1 bath,3,4,229,1,0,t,0.1
51712368,153938957,100%,85%,f,2,Old Town,32.75327,-117.15912,Entire home/apt,2,1 bath,1,2,160,11,4.91,f,1.17
51712846,392363418,100%,100%,t,0,East Village,32.70927,-117.15574,Entire home/apt,3,1 bath,,1,188,56,4.95,t,8.12
51856484,110550380,100%,100%,f,2,Bay Park,32.80374,-117.19813,Entire home/apt,5,1 bath,2,3,192,7,4.43,t,0.72
51861761,768726,0%,31%,f,4,La Jolla,32.85023,-117.2535,Private room,2,1 shared bath,1,1,136,2,5,f,0.22
51570151,226804666,100%,39%,f,3404,College Area,32.77343,-117.07527,Private room,1,Private half-bath,1,1,95,0,,f,
51868155,15310815,100%,94%,t,0,Roseville,32.74189,-117.22367,Entire home/apt,4,1 bath,1,2,168,20,4.95,f,2.11
51713764,418951796,100%,100%,t,1,Serra Mesa,32.79985,-117.12814,Entire home/apt,12,2 baths,4,4,413,36,4.69,t,3.82
51714306,33832431,100%,99%,t,3,Memorial,32.70602,-117.12591,Private room,2,1 shared bath,1,1,77,10,5,t,1.47
51872258,420191505,100%,100%,f,0,Mission Bay,32.78846,-117.23962,Entire home/apt,6,1 bath,3,4,926,0,,t,
51872821,263534443,N/A,100%,f,52,Mission Bay,32.79422,-117.23218,Entire home/apt,14,3 baths,4,8,842,55,4.84,t,5.67
51882765,81343623,100%,100%,t,49,Mission Bay,32.78336,-117.25208,Entire home/apt,10,2 baths,2,8,705,2,4,t,0.21
51715954,263534443,N/A,100%,f,52,Mission Bay,32.77186,-117.25358,Entire home/apt,10,2 baths,3,9,957,47,4.66,t,4.7
51728041,2578298,100%,56%,f,0,Loma Portal,32.75431,-117.22343,Private room,1,1 private bath,1,1,63,0,,f,
51570166,226804666,100%,39%,f,3404,College Area,32.77132,-117.07494,Private room,1,Private half-bath,1,1,89,0,,f,
51733457,16912042,82%,57%,f,19,Northwest,32.64456,-117.06851,Entire home/apt,6,1 bath,2,4,128,4,5,f,0.41
51733965,175714519,100%,100%,f,9,North Hills,32.76292,-117.12968,Entire home/apt,4,2 baths,2,2,174,75,4.68,t,7.65
